id,word,total_count,total_frequency,trump_count,trump_frequency,obama_count,obama_frequency
26,the,25805,0.047389665912496694,21404,0.04876037388116994,4401,0.04168995405674229
12,to,14843,0.027258469720565334,11239,0.025603524670644223,3604,0.034140103253919384
87,and,12534,0.023018100079334764,11043,0.025157017789654252,1491,0.014123999431629801
23,of,10311,0.018935665383598272,8576,0.019536954139642747,1735,0.01643537157201724
38,a,9680,0.01777686363235683,7659,0.017447939803582533,2021,0.019144602851323828
5,http://...,9501,0.017448138571386596,6683,0.015224517783959012,2818,0.026694453654146733
6,in,8180,0.015022184350483355,6550,0.014921530971858676,1630,0.015440723724719368
121,is,7460,0.013699938295184086,6357,0.014481858379863452,1103,0.010448538814948137
4,for,6586,0.012094878500279141,5031,0.011461102644186412,1555,0.014730260976649458
139,on,4856,0.008917815061851733,3742,0.008524636472777888,1114,0.010552740017998389
61,that,4414,0.008106102900126347,3654,0.008324163995598717,760,0.0071993558471084166
194,i,4367,0.00801978961596098,3756,0.008556529821420028,611,0.00578790318760953
312,our,4256,0.007815943349102341,3519,0.008016620990835218,737,0.0069814806043669774
131,will,4243,0.007792069461992772,3838,0.00874333372060971,405,0.0038364988395775115
210,we,4161,0.007641480327917022,3107,0.00707804530222365,1054,0.009984369819542462
15,you,4140,0.007602914817970793,2931,0.0066771003478653095,1209,0.011452659498886941
187,are,4081,0.007494564099550436,3572,0.008137360096409037,509,0.0048216738502344526
53,be,3855,0.007079525754414832,3402,0.007750083720040186,453,0.004291194998342253
9,president,3592,0.0065965386536596836,1325,0.0030184776393454575,2267,0.02147492066499313
36,with,3590,0.006592865747950518,3136,0.007144110095839513,454,0.004300667834983186
208,it,3577,0.006568991860840949,3036,0.006916300462681365,541,0.005124804622744281
105,great,3556,0.00653042635089472,3494,0.007959668582545681,62,0.0005873158717377919
11,this,3277,0.006018056004466254,2355,0.005364916860874379,922,0.008733955382939421
220,have,3169,0.0058197190961713635,2651,0.006039233375022496,518,0.004906929380002842
62,they,3044,0.005590162489348573,2827,0.006440178329380836,217,0.0020556055510822717
3272,&,2824,0.005186142861340464,2719,0.0061941439255700365,105,0.0009946478472978733
86,obama,2460,0.0045176740222725,317,0.0007221565371113283,2143,0.02030028892151755
81,was,2331,0.004280771604031381,2175,0.004954859521189713,156,0.0014777625159854118
378,at,2303,0.004229350924103077,1892,0.004310158259352155,411,0.0038933358594231042
106,has,2254,0.004139364734228543,1997,0.00454935837416821,257,0.0024345190167195567
343,not,2238,0.004109981488555226,1878,0.004278264910710014,360,0.003410221190735566
94,all,2183,0.004008976581553198,1895,0.0043169925483468995,288,0.0027281769525884527
425,he,2166,0.0039777568830252985,2037,0.004640482227431469,129,0.0012219959266802445
166,by,2064,0.0037904386918579027,1754,0.003995780965593911,310,0.0029365793586889595
58,people,2060,0.0037830928804395733,1767,0.00402539621790447,293,0.002775541135793113
389,as,1725,0.0031678811741544972,1349,0.003073151951303413,376,0.0035617865769904796
1281,very,1692,0.0031072782299532806,1670,0.003804420873741067,22,0.0002084024061005068
737,my,1677,0.003079731437134546,1532,0.003490043579982823,145,0.0013735613129351584
68,more,1645,0.0030209649457879116,1165,0.002653982226292421,480,0.004546961587647421
22,no,1632,0.0029970910586783416,1449,0.0033009615844615606,183,0.0017335291052905794
63,who,1626,0.0029860723415508477,1287,0.002931909978745361,339,0.003211291621275991
202,now,1625,0.0029842358886962655,1354,0.00308454243296132,271,0.0025671387296926063
216,just,1595,0.002929142303058796,1359,0.0030959329146192276,236,0.002235589447259982
299,so,1594,0.0029273058502042137,1468,0.0033442454147616088,126,0.001193577416757448
112,your,1578,0.0028979226045308965,927,0.0021117952993760293,651,0.006166816653246815
326,from,1576,0.002894249698821732,1200,0.002733715597897773,376,0.0035617865769904796
176,us,1516,0.0027840625275467926,1223,0.002786111813524147,293,0.002775541135793113
78,do,1504,0.002762025093291805,1232,0.00280661468050838,272,0.0025766115663335386
239,if,1496,0.0027473334704551464,873,0.0019887780974706297,623,0.0059015772273007154
376,thank,1464,0.0026885669791085125,1406,0.003203003442203557,58,0.0005494245251740634
77,but,1372,0.002519613316486939,1214,0.0027656089465399134,158,0.0014967081892672761
254,their,1367,0.0025104310522140274,1115,0.002540077409713347,252,0.002387154833514896
1034,news,1353,0.002484720712249875,1295,0.002950134749398013,58,0.0005494245251740634
180,country,1347,0.0024737019951223812,1162,0.0026471479372976764,185,0.0017524747785724435
24,out,1310,0.0024057532395028356,1053,0.0023988354371552957,257,0.0024345190167195567
51,up,1303,0.0023928980695207594,978,0.0022279782122866846,325,0.0030786719083029414
47,big,1280,0.002350659653865366,1208,0.0027519403685504246,72,0.0006820442381471132
